E-Type,KnockDownT,InputLog
0,42.49736,2,2,4,3,3,4,3,3,4,2,2,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4
1,38.31899,3,2,2,2,4,2,2,4,3,3,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,3,3,3,4
2,27.34705,2,2,4,3,3,4,2,2,4,3,3,4,2,2,4,3,3,4,2,2,4
3,35.20784,2,2,4,2,2,4,2,3,3,3,3,4,2,2,4,2,2,4,3,3,4,2,2,4,2,2,4,2,2,4
4,39.58073,2,2,4,3,3,4,2,2,4,3,3,4,2,2,4,3,3,4,2,2,4,3,3,4,2,2,4,3,3,4
